,price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,TPS,labels
1545,6420.23,486000000.0,111000000000.0,17342237.03,15544648.73,17122400.02,22597416.0,143000000.0,158000000.0,2.99,6409.71
1546,6451.28,327000000.0,112000000000.0,17340299.28,15542819.46,17120509.84,22593120.0,62240000.0,62250000.0,2.37,6420.23
1547,6415.37,479000000.0,111000000000.0,17338574.05,15541441.46,17118832.37,22573203.0,109000000.0,101000000.0,2.61,6451.28
1548,6405.44,632000000.0,111000000000.0,17336786.29,15539740.04,17116707.83,22567949.0,154000000.0,154000000.0,2.91,6415.37
1549,6449.71,680000000.0,112000000000.0,17335011.04,15538428.18,17115130.06,22558094.0,182000000.0,176000000.0,3.03,6405.44
1550,6471.36,686000000.0,112000000000.0,17333285.7,15536909.57,17114516.72,22539890.0,150000000.0,172000000.0,2.96,6449.71
1551,6502.95,765000000.0,113000000000.0,17331560.4,15535226.2,17113185.77,22536171.0,163000000.0,181000000.0,2.93,6471.36
1552,6518.53,2720000000.0,113000000000.0,17329872.57,15532597.57,17110956.94,22543962.0,360000000.0,309000000.0,3.18,6502.95
1553,6239.03,377000000.0,108000000000.0,17327846.96,15530815.29,17102909.97,22539471.0,75430000.0,78010000.0,2.19,6518.53
1554,6203.32,333000000.0,107000000000.0,17326421.74,15529287.63,17101982.99,22532688.0,72260000.0,89390000.0,2.36,6239.03
1555,6207.82,561000000.0,108000000000.0,17324659.03,15528025.98,17100159.02,22529150.0,210000000.0,200000000.0,2.8,6203.32
1556,6235.4,1360000000.0,108000000000.0,17323008.71,15525935.36,17097367.51,22552028.0,266000000.0,263000000.0,3.04,6207.82
1557,6525.42,534000000.0,113000000000.0,17321020.8,15524350.53,17103404.05,22541151.0,173000000.0,144000000.0,2.88,6235.4
1558,6594.76,420000000.0,114000000000.0,17319220.41,15522236.74,17103361.75,22505805.0,126000000.0,125000000.0,2.64,6525.42
1559,6604.38,630000000.0,114000000000.0,17317594.96,15518262.67,17102110.35,22487532.0,130000000.0,119000000.0,2.88,6594.76
1560,6533.96,414000000.0,113000000000.0,17315907.12,15515654.99,17099427.44,22489738.0,61790000.0,79160000.0,2.64,6604.38
1561,6558.5,341000000.0,114000000000.0,17314131.34,15514160.09,17097601.84,22510637.0,68850000.0,80420000.0,2.44,6533.96
1562,6555.51,485000000.0,113000000000.0,17312568.44,15512861.47,17096945.92,22489589.0,108000000.0,109000000.0,2.79,6558.5
1563,6546.06,554000000.0,113000000000.0,17310943.02,15511454.47,17094751.03,22458723.0,147000000.0,163000000.0,2.87,6555.51
1564,6445.3,703000000.0,112000000000.0,17309067.23,15510055.41,17091551.75,22396496.0,134000000.0,142000000.0,2.82,6546.06
1565,6531.69,628000000.0,113000000000.0,17307253.64,15508022.24,17091036.63,22287857.0,122000000.0,134000000.0,2.78,6445.3
1566,6566.5,571000000.0,114000000000.0,17305540.79,15506609.75,17089642.65,22309267.0,133000000.0,139000000.0,2.85,6531.69
1567,6578.25,504000000.0,114000000000.0,17303565.49,15504612.41,17088421.2,22342656.0,77960000.0,69070000.0,2.34,6566.5
1568,6537.22,621000000.0,113000000000.0,17301527.76,15503538.59,17086146.03,22320740.0,83180000.0,101000000.0,2.58,6578.25
1569,6669.93,1040000000.0,115000000000.0,17299627.27,15501450.88,17085390.56,22289190.0,176000000.0,188000000.0,2.88,6537.22
1570,6549.8,768000000.0,113000000000.0,17297702.01,15499464.7,17086453.22,22264082.0,155000000.0,156000000.0,2.91,6669.93
1571,6472.15,666000000.0,112000000000.0,17295914.28,15497889.66,17078679.4,22250740.0,146000000.0,164000000.0,2.83,6549.8
1572,6415.74,920000000.0,111000000000.0,17294176.6,15496020.62,17075804.84,22248503.0,137000000.0,178000000.0,2.92,6472.15
1573,6625.26,704000000.0,115000000000.0,17292063.9,15493551.98,17076699.84,22242888.0,115000000.0,93600000.0,2.69,6415.74
1574,6708.96,521000000.0,116000000000.0,17290213.69,15491837.6,17079405.18,22228439.0,72430000.0,68900000.0,2.4,6625.26
1575,6711.07,656000000.0,116000000000.0,17288338.5,15489754.14,17077838.15,22189432.0,95040000.0,106000000.0,2.54,6708.96
1576,6669.37,1260000000.0,115000000000.0,17286400.77,15488239.64,17076937.26,22170697.0,254000000.0,187000000.0,3.15,6711.07
1577,6421.02,659000000.0,111000000000.0,17284600.39,15486296.19,17068234.88,22157468.0,154000000.0,136000000.0,2.97,6669.37
1578,6325.51,944000000.0,109000000000.0,17282675.16,15484782.04,17064204.99,22138629.0,136000000.0,124000000.0,2.95,6421.02
1579,6300.62,661000000.0,109000000000.0,17280724.93,15482752.44,17061392.66,22129680.0,133000000.0,123000000.0,2.82,6325.51
1580,6346.04,673000000.0,110000000000.0,17278949.62,15480807.76,17057959.7,22131037.0,113000000.0,104000000.0,2.71,6300.62
1581,6467.74,343000000.0,112000000000.0,17277261.86,15479086.22,17061134.5,22112795.0,52470000.0,58320000.0,2.12,6346.04
1582,6513.93,346000000.0,113000000000.0,17275524.16,15477468.5,17060358.07,22082914.0,81720000.0,76930000.0,2.41,6467.74
1583,6491.75,643000000.0,112000000000.0,17273773.96,15475716.9,17058283.21,22070084.0,129000000.0,111000000.0,2.58,6513.93
1584,6446.27,753000000.0,111000000000.0,17272123.7,15474598.71,17056827.48,22056925.0,196000000.0,364000000.0,2.76,6491.75
1585,6264.72,591000000.0,108000000000.0,17270273.49,15472411.02,17051565.91,22050926.0,172000000.0,163000000.0,2.72,6446.27
1586,6279.85,659000000.0,108000000000.0,17268173.23,15470286.29,17048530.02,22042218.0,132000000.0,142000000.0,2.73,6264.72
1587,6283.62,578000000.0,108000000000.0,17266410.43,15468339.03,17046957.18,22051335.0,138000000.0,137000000.0,2.58,6279.85
1588,6295.4,581000000.0,109000000000.0,17264722.7,15467150.09,17043673.16,22058578.0,99970000.0,104000000.0,2.19,6283.62
1589,6300.89,655000000.0,109000000000.0,17262685.03,15465140.99,17040547.68,22047862.0,90540000.0,83230000.0,2.37,6295.4
1590,6437.18,740000000.0,111000000000.0,17260809.86,15463660.98,17043683.06,22047256.0,150000000.0,183000000.0,2.67,6300.89
1591,6426.4,1390000000.0,111000000000.0,17258909.61,15461897.28,17043857.25,22026024.0,297000000.0,201000000.0,2.92,6437.18
1592,7026.96,1370000000.0,121000000000.0,17257034.25,15459841.46,17049788.82,22023917.0,249000000.0,190000000.0,2.77,6426.4
1593,7323.56,745000000.0,126000000000.0,17255383.93,15458671.39,17057378.59,22034568.0,228000000.0,169000000.0,2.77,7026.96
1594,7249.77,669000000.0,125000000000.0,17253808.57,15456727.27,17054147.91,22023688.0,170000000.0,128000000.0,2.6,7323.56
1595,7246.26,897000000.0,125000000000.0,17252008.31,15455030.54,17052829.39,22029754.0,119000000.0,98650000.0,2.13,7249.77
1596,7126.08,733000000.0,123000000000.0,17250208.08,15453112.46,17049678.85,22000731.0,136000000.0,108000000.0,2.45,7246.26
1597,6978.5,751000000.0,120000000000.0,17248319.91,15451356.13,17044312.04,21996454.0,199000000.0,171000000.0,2.76,7126.08
1598,6913.01,849000000.0,119000000000.0,17246382.05,15449494.61,17041568.47,21977879.0,189000000.0,146000000.0,2.7,6978.5
1599,7034.93,750000000.0,121000000000.0,17244456.8,15446499.89,17040453.09,21980820.0,201000000.0,170000000.0,2.72,6913.01
1600,6990.63,962000000.0,121000000000.0,17242718.95,15444743.91,17040170.04,21951659.0,218000000.0,154000000.0,2.74,7034.93
1601,6735.51,692000000.0,116000000000.0,17240806.17,15442624.24,17033530.81,21993298.0,183000000.0,159000000.0,2.64,6990.63
1602,6666.95,432000000.0,115000000000.0,17238493.27,15439954.52,17027682.36,22034087.0,88840000.0,81400000.0,1.97,6735.51
1603,6713.27,456000000.0,116000000000.0,17236330.61,15438482.0,17026679.41,22048714.0,93580000.0,89940000.0,2.25,6666.95
1604,6562.59,793000000.0,113000000000.0,17234642.61,15436544.09,17024166.33,22042274.0,186000000.0,162000000.0,2.57,6713.27
1605,6436.9,702000000.0,111000000000.0,17232817.47,15433983.3,17017122.68,22042337.0,158000000.0,189000000.0,2.52,6562.59
1606,6570.08,1410000000.0,113000000000.0,17230954.8,15431815.12,17012435.78,22007563.0,209000000.0,195000000.0,2.6,6436.9
1607,6394.22,706000000.0,110000000000.0,17228954.64,15428863.82,17012348.14,21989525.0,160000000.0,121000000.0,2.54,6570.08
1608,6410.31,787000000.0,110000000000.0,17227104.43,15427470.75,17006282.12,21981456.0,122000000.0,115000000.0,2.54,6394.22
